contact,month,day_of_week,poutcome,duration,campaign,pdays,previous,y
telephone,may,mon,nonexistent,261,1,999,0,0
telephone,may,mon,nonexistent,149,1,999,0,0
telephone,may,mon,nonexistent,226,1,999,0,0
telephone,may,mon,nonexistent,151,1,999,0,0
telephone,may,mon,nonexistent,307,1,999,0,0
telephone,may,mon,nonexistent,198,1,999,0,0
telephone,may,mon,nonexistent,139,1,999,0,0
telephone,may,mon,nonexistent,217,1,999,0,0
telephone,may,mon,nonexistent,380,1,999,0,0
telephone,may,mon,nonexistent,50,1,999,0,0
telephone,may,mon,nonexistent,55,1,999,0,0
telephone,may,mon,nonexistent,222,1,999,0,0
telephone,may,mon,nonexistent,137,1,999,0,0
telephone,may,mon,nonexistent,293,1,999,0,0
telephone,may,mon,nonexistent,146,1,999,0,0
telephone,may,mon,nonexistent,174,1,999,0,0
telephone,may,mon,nonexistent,312,1,999,0,0
telephone,may,mon,nonexistent,440,1,999,0,0
telephone,may,mon,nonexistent,353,1,999,0,0
telephone,may,mon,nonexistent,195,1,999,0,0
telephone,may,mon,nonexistent,38,1,999,0,0
telephone,may,mon,nonexistent,262,1,999,0,0
telephone,may,mon,nonexistent,342,1,999,0,0
telephone,may,mon,nonexistent,181,1,999,0,0
telephone,may,mon,nonexistent,172,1,999,0,0
telephone,may,mon,nonexistent,99,1,999,0,0
telephone,may,mon,nonexistent,93,1,999,0,0
telephone,may,mon,nonexistent,233,1,999,0,0
telephone,may,mon,nonexistent,255,2,999,0,0
telephone,may,mon,nonexistent,362,1,999,0,0
telephone,may,mon,nonexistent,348,1,999,0,0
telephone,may,mon,nonexistent,386,1,999,0,0
telephone,may,mon,nonexistent,73,1,999,0,0
telephone,may,mon,nonexistent,230,1,999,0,0
telephone,may,mon,nonexistent,208,1,999,0,0
telephone,may,mon,nonexistent,336,1,999,0,0
telephone,may,mon,nonexistent,365,1,999,0,0
telephone,may,mon,nonexistent,1666,1,999,0,0
telephone,may,mon,nonexistent,577,1,999,0,0
telephone,may,mon,nonexistent,137,1,999,0,0
telephone,may,mon,nonexistent,366,1,999,0,0
telephone,may,mon,nonexistent,314,1,999,0,0
telephone,may,mon,nonexistent,160,1,999,0,0
telephone,may,mon,nonexistent,212,1,999,0,0
telephone,may,mon,nonexistent,188,1,999,0,0
telephone,may,mon,nonexistent,22,1,999,0,0
telephone,may,mon,nonexistent,616,1,999,0,0
telephone,may,mon,nonexistent,178,1,999,0,0
telephone,may,mon,nonexistent,355,1,999,0,0
telephone,may,mon,nonexistent,225,2,999,0,0
telephone,may,mon,nonexistent,160,1,999,0,0
telephone,may,mon,nonexistent,266,1,999,0,0
telephone,may,mon,nonexistent,253,1,999,0,0
telephone,may,mon,nonexistent,179,1,999,0,0
telephone,may,mon,nonexistent,269,2,999,0,0
telephone,may,mon,nonexistent,135,1,999,0,0
telephone,may,mon,nonexistent,161,1,999,0,0
telephone,may,mon,nonexistent,787,1,999,0,0
telephone,may,mon,nonexistent,145,1,999,0,0
telephone,may,mon,nonexistent,174,1,999,0,0
telephone,may,mon,nonexistent,449,1,999,0,0
telephone,may,mon,nonexistent,812,1,999,0,0
telephone,may,mon,nonexistent,164,1,999,0,0
telephone,may,mon,nonexistent,366,1,999,0,0
telephone,may,mon,nonexistent,357,1,999,0,0
telephone,may,mon,nonexistent,232,1,999,0,0
telephone,may,mon,nonexistent,91,1,999,0,0
telephone,may,mon,nonexistent,273,1,999,0,0
telephone,may,mon,nonexistent,158,2,999,0,0
telephone,may,mon,nonexistent,177,1,999,0,0
telephone,may,mon,nonexistent,200,1,999,0,0
telephone,may,mon,nonexistent,172,1,999,0,0
telephone,may,mon,nonexistent,176,1,999,0,0
telephone,may,mon,nonexistent,211,1,999,0,0
telephone,may,mon,nonexistent,214,1,999,0,0
telephone,may,mon,nonexistent,1575,1,999,0,1
telephone,may,mon,nonexistent,349,1,999,0,0
telephone,may,mon,nonexistent,337,2,999,0,0
telephone,may,mon,nonexistent,272,1,999,0,0
telephone,may,mon,nonexistent,208,1,999,0,0
telephone,may,mon,nonexistent,193,1,999,0,0
telephone,may,mon,nonexistent,212,1,999,0,0
telephone,may,mon,nonexistent,165,2,999,0,0
telephone,may,mon,nonexistent,1042,1,999,0,1
telephone,may,mon,nonexistent,20,1,999,0,0
telephone,may,mon,nonexistent,246,1,999,0,0
telephone,may,mon,nonexistent,529,2,999,0,0
telephone,may,mon,nonexistent,192,1,999,0,0
telephone,may,mon,nonexistent,1467,1,999,0,1
telephone,may,mon,nonexistent,188,2,999,0,0
telephone,may,mon,nonexistent,180,2,999,0,0
telephone,may,mon,nonexistent,48,1,999,0,0
telephone,may,mon,nonexistent,213,2,999,0,0
telephone,may,mon,nonexistent,545,1,999,0,0
telephone,may,mon,nonexistent,583,1,999,0,0
telephone,may,mon,nonexistent,221,1,999,0,0
telephone,may,mon,nonexistent,426,1,999,0,0
telephone,may,mon,nonexistent,287,1,999,0,0
telephone,may,mon,nonexistent,197,1,999,0,0
telephone,may,mon,nonexistent,257,1,999,0,0
telephone,may,mon,nonexistent,229,1,999,0,0
telephone,may,mon,nonexistent,55,3,999,0,0
telephone,may,mon,nonexistent,400,1,999,0,0
