"","contact","month","day_of_week","poutcome","duration","campaign","pdays","previous","y","mprediction"
"11","telephone","may","mon","nonexistent",55,1,999,0,0,-4.87355000568934
"14","telephone","may","mon","nonexistent",293,1,999,0,0,-3.87829537031168
"20","telephone","may","mon","nonexistent",195,1,999,0,0,-4.28810610252601
"25","telephone","may","mon","nonexistent",172,1,999,0,0,-4.38428617233141
"29","telephone","may","mon","nonexistent",255,2,999,0,0,-4.11466175071583
"51","telephone","may","mon","nonexistent",160,1,999,0,0,-4.43446707831684
"54","telephone","may","mon","nonexistent",179,1,999,0,0,-4.35501397717325
"55","telephone","may","mon","nonexistent",269,2,999,0,0,-4.0561173603995
"59","telephone","may","mon","nonexistent",145,1,999,0,0,-4.49719321079863
"66","telephone","may","mon","nonexistent",232,1,999,0,0,-4.13338164240427
"67","telephone","may","mon","nonexistent",91,1,999,0,0,-4.72300728773305
"70","telephone","may","mon","nonexistent",177,1,999,0,0,-4.36337746150415
"75","telephone","may","mon","nonexistent",214,1,999,0,0,-4.20865300138241
"85","telephone","may","mon","nonexistent",20,1,999,0,0,-5.01991098148017
"86","telephone","may","mon","nonexistent",246,1,999,0,0,-4.07483725208794
"88","telephone","may","mon","nonexistent",192,1,999,0,0,-4.30065132902237
"91","telephone","may","mon","nonexistent",180,2,999,0,0,-4.42829241312476
"92","telephone","may","mon","nonexistent",48,1,999,0,0,-4.9028222008475
"99","telephone","may","mon","nonexistent",197,1,999,0,0,-4.2797426181951
"102","telephone","may","mon","nonexistent",55,3,999,0,0,-5.02847036192327
"105","telephone","may","mon","nonexistent",190,1,999,0,0,-4.30901481335327
"109","telephone","may","mon","nonexistent",293,1,999,0,0,-3.87829537031168
"120","telephone","may","mon","nonexistent",178,1,999,0,0,-4.3591957193387
"125","telephone","may","mon","nonexistent",175,1,999,0,0,-4.37174094583506
"129","telephone","may","mon","nonexistent",102,2,999,0,0,-4.75446830203004
"133","telephone","may","mon","nonexistent",267,1,999,0,0,-3.98702066661344
"137","telephone","may","mon","nonexistent",69,2,999,0,0,-4.89246579348997
"140","telephone","may","mon","nonexistent",461,1,999,0,1,-3.17576268651568
"141","telephone","may","mon","nonexistent",240,1,999,0,0,-4.09992770508065
"142","telephone","may","mon","nonexistent",70,1,999,0,0,-4.81082387320755
