,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,socioprediction,exp(u),1+exp(u),p,totp
11,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
14,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
20,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
25,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
29,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
51,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
54,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
55,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
59,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
66,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
67,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
70,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
75,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
85,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
86,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
88,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
91,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
92,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
99,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
102,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
105,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
109,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
120,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
125,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
129,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
133,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
137,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
140,1.1,93.994,-36.4,4.857,5191,1,-2.65012634,0.070642288,1.070642288,7%,0
141,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
142,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
143,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
155,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
159,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
162,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
163,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
180,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
181,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
189,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
191,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
194,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
196,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
206,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
209,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
210,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
211,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
214,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
215,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
220,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
229,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
230,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
236,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
237,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
240,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
242,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
243,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
249,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
257,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
259,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
263,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
265,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
270,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
271,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
273,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
278,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
280,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
