"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","poutcome","duration","campaign","pdays","previous","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","prediction"
"11",41,"blue-collar","married","unknown","unknown","no","no","telephone","may","mon","nonexistent",55,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.61877718472464
"14",57,"housemaid","divorced","basic.4y","no","yes","no","telephone","may","mon","nonexistent",293,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.24118285534663
"20",39,"management","single","basic.9y","unknown","no","no","telephone","may","mon","nonexistent",195,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.96536950495098
"25",37,"admin.","married","high.school","no","yes","no","telephone","may","mon","nonexistent",172,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.61990757900377
"29",54,"technician","single","university.degree","unknown","no","no","telephone","may","mon","nonexistent",255,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.36338256040386
"51",54,"admin.","married","high.school","no","no","no","telephone","may","mon","nonexistent",160,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.65881520146632
"54",53,"admin.","single","professional.course","no","no","no","telephone","may","mon","nonexistent",179,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.50505481650386
"55",55,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","mon","nonexistent",269,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.81539286394806
"59",55,"unemployed","married","professional.course","unknown","yes","yes","telephone","may","mon","nonexistent",145,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.10607000897792
"66",37,"admin.","married","university.degree","no","no","no","telephone","may","mon","nonexistent",232,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.18555063238471
"67",44,"blue-collar","single","basic.9y","no","yes","no","telephone","may","mon","nonexistent",91,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.2024688159816
"70",44,"blue-collar","single","basic.4y","unknown","yes","yes","telephone","may","mon","nonexistent",177,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.2195594959559
"75",37,"admin.","married","university.degree","unknown","yes","no","telephone","may","mon","nonexistent",214,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.63061812362894
"85",38,"technician","single","university.degree","no","no","yes","telephone","may","mon","nonexistent",20,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.13418481485771
"86",31,"admin.","divorced","high.school","no","no","no","telephone","may","mon","nonexistent",246,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.2752464988068
"88",39,"admin.","married","university.degree","no","yes","yes","telephone","may","mon","nonexistent",192,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.422608027437
"91",35,"admin.","married","university.degree","no","yes","no","telephone","may","mon","nonexistent",180,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.46379420431375
"92",57,"unknown","married","unknown","unknown","yes","no","telephone","may","mon","nonexistent",48,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.66953958770335
"99",37,"technician","single","professional.course","no","no","no","telephone","may","mon","nonexistent",197,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.39796085625041
"102",49,"blue-collar","married","basic.4y","no","no","no","telephone","may","mon","nonexistent",55,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.49405736477677
